ID,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings
R_16_2,I,0.44,0.355,0.165,0.435,0.159,0.105,0.14,16
R_14_12,I,0.47,0.4,0.16,0.51,0.1615,0.073,0.198,14
R_16_3,I,0.635,0.5,0.18,1.319,0.5485,0.292,0.49,16
R_15_6,I,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,15
R_16_4,I,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,16
R_14_13,I,0.55,0.425,0.15,0.806,0.376,0.171,0.245,14
R_14_14,I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14
R_18_6,I,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,18
R_15_7,I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15
R_16_5,I,0.56,0.445,0.155,0.8735,0.3005,0.209,0.275,16
R_16_6,I,0.44,0.33,0.135,0.522,0.17,0.0905,0.195,16
R_16_7,I,0.6,0.445,0.175,1.057,0.383,0.216,0.355,16
R_16_8,I,0.6,0.445,0.175,1.057,0.383,0.216,0.355,16
R_15_8,I,0.555,0.455,0.17,0.8435,0.309,0.1905,0.3,15
R_16_9,I,0.635,0.5,0.18,1.319,0.5485,0.292,0.49,16
R_16_10,I,0.6,0.445,0.175,1.057,0.383,0.216,0.355,16
R_16_11,I,0.44,0.33,0.135,0.522,0.17,0.0905,0.195,16
R_17_11,I,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,17
R_19_2,I,0.52,0.39,0.14,0.7325,0.2415,0.144,0.26,19
R_15_9,I,0.62,0.485,0.17,1.208,0.4805,0.3045,0.33,15
R_14_15,I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14
R_16_12,I,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425,16
R_15_10,I,0.465,0.36,0.105,0.498,0.214,0.116,0.14,15
R_15_11,I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15
R_20_1,I,0.53,0.42,0.185,0.752,0.299,0.156,0.205,20
R_17_12,I,0.65,0.515,0.16,1.1625,0.495,0.203,0.33,17
R_15_12,I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15
R_15_13,I,0.465,0.36,0.105,0.498,0.214,0.116,0.14,15
R_14_16,I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14
R_18_7,I,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,18
R_14_17,I,0.525,0.405,0.15,0.795,0.3075,0.205,0.255,14
R_14_18,I,0.625,0.465,0.155,0.972,0.404,0.1845,0.35,14
R_19_3,I,0.52,0.39,0.14,0.7325,0.2415,0.144,0.26,19
R_17_13,I,0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,17
R_14_19,I,0.44,0.345,0.12,0.487,0.1965,0.108,0.16,14
R_17_14,I,0.535,0.42,0.145,0.926,0.398,0.1965,0.25,17
R_14_20,I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14
R_21_2,I,0.53,0.415,0.145,0.944,0.3845,0.185,0.265,21
R_20_2,I,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315,20
R_18_8,I,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,18
R_18_9,I,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,18
R_14_21,I,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,14
R_17_15,I,0.61,0.46,0.17,1.278,0.41,0.257,0.37,17
R_18_10,I,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,18
R_21_3,I,0.53,0.415,0.145,0.944,0.3845,0.185,0.265,21
R_20_3,I,0.53,0.42,0.185,0.752,0.299,0.156,0.205,20
R_15_14,I,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,15
R_14_22,I,0.525,0.405,0.15,0.795,0.3075,0.205,0.255,14
R_19_4,I,0.52,0.39,0.14,0.7325,0.2415,0.144,0.26,19
R_15_15,I,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205,15
R_14_23,I,0.625,0.46,0.16,1.2395,0.55,0.273,0.38,14
R_17_16,I,0.55,0.44,0.165,0.8605,0.312,0.169,0.3,17
R_20_4,I,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315,20
R_16_13,I,0.635,0.5,0.18,1.319,0.5485,0.292,0.49,16
R_17_17,I,0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,17
R_14_24,I,0.5,0.385,0.155,0.762,0.3795,0.161,0.19,14
R_17_18,I,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,17
R_15_16,I,0.66,0.525,0.18,1.6935,0.6025,0.4005,0.42,15
R_16_14,I,0.6,0.445,0.175,1.057,0.383,0.216,0.355,16
R_16_15,I,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,16
R_18_11,I,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,18
