ID,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings,Shell_humidity_weight
66,I,0.46,0.37,0.11,0.3965,0.1485,0.0855,0.1455,8,0.103
67,F,0.47,0.365,0.12,0.582,0.29,0.092,0.146,8,0.146
68,I,0.38,0.3,0.1,0.286,0.1305,0.056,0.09,7,0.065
69,F,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10,0.312
70,F,0.545,0.41,0.14,0.7405,0.3565,0.1775,0.203,9,0.181
71,I,0.37,0.275,0.09,0.2065,0.096,0.0395,0.058,7,0.052
72,F,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,12,0.366
73,I,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9,0.111
74,I,0.32,0.235,0.065,0.1385,0.058,0.0225,0.05,5,0.031
75,I,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035,5,0.033
76,I,0.555,0.435,0.14,0.765,0.3945,0.15,0.206,8,0.165
77,I,0.415,0.325,0.1,0.313,0.139,0.0625,0.0965,7,0.077
78,I,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7,0.118
79,M,0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29,16,0.227
80,F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19,0.528
81,I,0.34,0.26,0.09,0.179,0.076,0.0525,0.055,6,0.048
82,F,0.585,0.42,0.155,1.034,0.437,0.2225,0.32,11,0.277
83,M,0.575,0.47,0.165,0.853,0.292,0.179,0.35,16,0.211
84,M,0.545,0.42,0.125,0.9745,0.353,0.174,0.305,13,0.317
85,I,0.345,0.265,0.1,0.2455,0.111,0.0535,0.065,7,0.07
86,M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9,0.084
87,I,0.355,0.255,0.08,0.187,0.078,0.0505,0.058,7,0.051
88,M,0.6,0.47,0.155,1.036,0.4375,0.196,0.325,20,0.274
89,I,0.54,0.42,0.14,0.7265,0.3205,0.1445,0.229,9,0.177
90,F,0.65,0.535,0.175,1.2895,0.6095,0.2765,0.344,10,0.336
91,F,0.505,0.425,0.14,0.85,0.275,0.1625,0.285,19,0.29
92,F,0.645,0.55,0.175,1.2915,0.57,0.3045,0.33,14,0.392
93,F,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10,0.312
94,M,0.62,0.5,0.18,1.3915,0.726,0.2795,0.332,11,0.333
95,M,0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,10,0.412
96,F,0.65,0.51,0.185,1.375,0.531,0.384,0.3985,10,0.445
97,M,0.61,0.49,0.15,1.103,0.425,0.2025,0.36,23,0.318
98,F,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,13,0.16
99,I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9,0.053
100,M,0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,9,0.193
101,I,0.515,0.395,0.125,0.556,0.2695,0.096,0.17,8,0.117
102,I,0.31,0.215,0.075,0.1275,0.0565,0.0275,0.036,7,0.035
103,F,0.505,0.405,0.18,0.606,0.239,0.1235,0.18,11,0.187
104,M,0.615,0.475,0.17,1.1825,0.474,0.2895,0.24,11,0.469
105,M,0.61,0.45,0.15,0.871,0.407,0.1835,0.25,10,0.214
106,F,0.53,0.395,0.145,0.775,0.308,0.169,0.255,7,0.212
107,M,0.535,0.43,0.155,0.7845,0.3285,0.169,0.245,10,0.211
108,I,0.37,0.275,0.08,0.2325,0.093,0.056,0.072,6,0.068
109,F,0.65,0.505,0.175,1.2075,0.5105,0.262,0.39,10,0.307
110,I,0.53,0.43,0.16,0.7245,0.321,0.1275,0.24,9,0.164
111,M,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9,0.174
112,M,0.425,0.35,0.105,0.393,0.13,0.063,0.165,9,0.098
113,F,0.64,0.5,0.17,1.12,0.4955,0.2645,0.32,12,0.305
114,I,0.52,0.415,0.16,0.595,0.2105,0.142,0.26,15,0.124
115,M,0.69,0.53,0.21,1.583,0.7355,0.405,0.3865,12,0.461
116,F,0.675,0.525,0.17,1.8095,0.784,0.391,0.455,12,0.571
117,I,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,7,0.124
118,M,0.235,0.16,0.06,0.0545,0.0265,0.0095,0.015,4,0.013
119,I,0.57,0.42,0.13,0.7745,0.3535,0.1505,0.2365,9,0.184
120,I,0.435,0.335,0.11,0.334,0.1355,0.0775,0.0965,7,0.102
121,M,0.575,0.45,0.165,0.9215,0.3275,0.225,0.256,12,0.338
122,F,0.57,0.45,0.16,0.9715,0.3965,0.255,0.26,12,0.315
123,M,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057,8,0.045
124,I,0.42,0.305,0.1,0.3415,0.1645,0.0775,0.086,7,0.091
125,M,0.535,0.415,0.135,0.78,0.3165,0.169,0.2365,8,0.227
126,F,0.54,0.415,0.175,0.8975,0.275,0.241,0.275,14,0.347
127,M,0.575,0.46,0.165,0.9155,0.4005,0.2465,0.2385,8,0.276
128,F,0.595,0.465,0.15,1.0255,0.412,0.2745,0.289,11,0.325
129,F,0.515,0.405,0.12,0.646,0.2895,0.1405,0.177,10,0.18
130,I,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,6,0.127
131,F,0.675,0.535,0.185,1.5575,0.7035,0.402,0.4,11,0.454
132,F,0.63,0.51,0.185,1.235,0.5115,0.349,0.3065,11,0.417
133,M,0.69,0.515,0.18,1.8445,0.9815,0.4655,0.341,13,0.522
134,I,0.54,0.415,0.135,0.709,0.3195,0.174,0.185,9,0.204
135,F,0.565,0.445,0.125,0.8305,0.3135,0.1785,0.23,11,0.287
136,F,0.6,0.48,0.18,1.0645,0.4495,0.2455,0.325,10,0.29
137,F,0.37,0.275,0.08,0.227,0.093,0.0625,0.07,8,0.064
138,F,0.425,0.335,0.095,0.322,0.1205,0.061,0.125,10,0.077
139,I,0.28,0.215,0.07,0.124,0.063,0.0215,0.03,6,0.031
140,M,0.665,0.535,0.225,2.1835,0.7535,0.391,0.885,27,0.545
141,I,0.475,0.365,0.105,0.4175,0.1645,0.099,0.127,7,0.126
142,M,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,23,0.407
143,I,0.39,0.3,0.095,0.3265,0.1665,0.0575,0.089,7,0.071
144,M,0.69,0.54,0.185,1.6195,0.533,0.353,0.555,24,0.531
145,M,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,15,0.257
146,I,0.255,0.19,0.07,0.0815,0.028,0.016,0.031,5,0.023
147,I,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,7,0.11
148,F,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.398,11,0.402
149,F,0.65,0.495,0.155,1.337,0.615,0.3195,0.335,9,0.387
150,I,0.405,0.315,0.105,0.347,0.1605,0.0785,0.1,9,0.086
151,M,0.555,0.44,0.135,0.9025,0.3805,0.2105,0.28,13,0.242
152,M,0.635,0.485,0.18,1.1795,0.4785,0.2775,0.355,10,0.346
153,F,0.5,0.395,0.15,0.7145,0.3235,0.173,0.195,9,0.196
154,F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9,0.211
155,M,0.465,0.355,0.12,0.5315,0.2725,0.097,0.1395,8,0.119
156,F,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,17,0.148
157,F,0.58,0.44,0.125,0.7855,0.363,0.1955,0.195,11,0.227
158,M,0.465,0.375,0.11,0.5,0.21,0.113,0.1505,8,0.14
159,I,0.54,0.43,0.14,0.8195,0.3935,0.1725,0.2295,9,0.196
160,I,0.5,0.37,0.12,0.5445,0.249,0.1065,0.152,8,0.143
161,I,0.45,0.33,0.11,0.3685,0.16,0.0885,0.102,6,0.106
162,I,0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,4,0.021
163,F,0.595,0.465,0.145,1.107,0.402,0.2415,0.31,12,0.395
164,I,0.31,0.235,0.075,0.1515,0.056,0.0315,0.05,7,0.045
165,F,0.45,0.36,0.11,0.447,0.203,0.082,0.13,12,0.114
166,M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10,0.104
167,M,0.595,0.465,0.125,0.799,0.3245,0.2,0.23,10,0.245
168,F,0.66,0.525,0.16,1.277,0.4975,0.319,0.394,13,0.385
169,F,0.63,0.495,0.145,1.147,0.5455,0.266,0.2885,9,0.313
170,I,0.515,0.395,0.125,0.556,0.2695,0.096,0.17,8,0.117
171,F,0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33,12,0.408
172,M,0.645,0.515,0.24,1.5415,0.471,0.369,0.535,13,0.535
173,M,0.55,0.43,0.15,0.8745,0.413,0.1905,0.248,9,0.214
174,M,0.65,0.505,0.17,1.5595,0.695,0.3515,0.395,11,0.47
175,I,0.515,0.42,0.135,0.711,0.337,0.144,0.205,13,0.169
176,M,0.59,0.47,0.145,0.9235,0.4545,0.173,0.254,9,0.215
177,F,0.58,0.45,0.145,1.137,0.5585,0.22,0.29,8,0.289
178,F,0.485,0.365,0.15,0.9145,0.4145,0.199,0.273,7,0.227
179,I,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,13,0.314
180,M,0.66,0.51,0.18,1.261,0.5,0.2335,0.339,10,0.422
181,I,0.46,0.36,0.105,0.466,0.2225,0.099,0.11,7,0.134
182,M,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,10,0.109
183,F,0.66,0.495,0.21,1.548,0.724,0.3525,0.3925,10,0.432
184,M,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,13,0.498
185,I,0.44,0.345,0.115,0.545,0.269,0.111,0.1305,6,0.146
186,I,0.5,0.375,0.125,0.5695,0.259,0.124,0.157,7,0.153
187,M,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,12,0.172
188,M,0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105,12,0.085
189,F,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245,8,0.122
190,M,0.6,0.48,0.165,0.9165,0.4135,0.1965,0.2725,9,0.23
191,M,0.55,0.425,0.16,0.97,0.2885,0.139,0.48,20,0.202
192,M,0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29,16,0.227
193,M,0.615,0.49,0.17,1.145,0.4915,0.208,0.343,13,0.31
194,I,0.32,0.23,0.06,0.129,0.0615,0.0275,0.0355,7,0.032
195,M,0.585,0.43,0.16,0.955,0.3625,0.176,0.27,11,0.323
196,I,0.49,0.385,0.14,0.5425,0.198,0.127,0.175,11,0.169
197,M,0.61,0.475,0.155,1.168,0.554,0.239,0.3295,10,0.284
198,F,0.465,0.36,0.12,0.4765,0.192,0.1125,0.16,10,0.124
199,I,0.54,0.41,0.135,0.7025,0.31,0.177,0.2,8,0.193
200,F,0.7,0.555,0.22,1.666,0.647,0.4285,0.455,11,0.564
201,F,0.57,0.45,0.15,0.9645,0.531,0.189,0.209,9,0.225
202,I,0.515,0.42,0.135,0.711,0.337,0.144,0.205,13,0.169
203,M,0.56,0.45,0.145,0.9355,0.425,0.1645,0.2725,11,0.238
204,F,0.395,0.295,0.095,0.2245,0.078,0.054,0.08,10,0.067
205,M,0.595,0.455,0.15,0.886,0.4315,0.201,0.223,10,0.232
206,F,0.37,0.275,0.1,0.2225,0.093,0.026,0.08,8,0.05
207,I,0.375,0.285,0.09,0.257,0.1045,0.062,0.075,7,0.078
208,F,0.63,0.495,0.2,1.4255,0.659,0.336,0.38,11,0.386
209,M,0.515,0.395,0.135,1.007,0.472,0.2495,0.252,8,0.283
210,I,0.575,0.45,0.135,0.8715,0.45,0.162,0.225,10,0.197
211,I,0.515,0.42,0.135,0.711,0.337,0.144,0.205,13,0.169
212,M,0.475,0.37,0.125,0.655,0.266,0.1725,0.185,10,0.204
213,I,0.54,0.405,0.15,0.7585,0.307,0.2075,0.19,10,0.261
214,M,0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255,12,0.234
215,I,0.375,0.29,0.095,0.2875,0.123,0.0605,0.08,6,0.084
216,M,0.695,0.57,0.2,2.033,0.751,0.4255,0.685,15,0.597
217,M,0.585,0.48,0.185,1.04,0.434,0.265,0.285,10,0.321
218,I,0.445,0.33,0.12,0.347,0.12,0.084,0.105,11,0.122
219,M,0.54,0.415,0.13,0.8245,0.272,0.226,0.24,13,0.312
220,M,0.525,0.365,0.17,0.9605,0.438,0.2225,0.276,10,0.246
221,F,0.58,0.44,0.18,0.854,0.3665,0.1635,0.245,12,0.242
222,I,0.4,0.32,0.095,0.348,0.194,0.053,0.087,6,0.067
223,F,0.6,0.45,0.15,0.9625,0.4375,0.2225,0.2775,9,0.247
224,F,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185,9,0.187
225,F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8,0.112
226,I,0.27,0.205,0.05,0.084,0.03,0.0185,0.029,6,0.025
227,F,0.655,0.51,0.16,1.092,0.396,0.2825,0.37,14,0.326
228,F,0.635,0.525,0.18,1.3695,0.634,0.318,0.363,11,0.372
229,I,0.29,0.215,0.065,0.0985,0.0425,0.021,0.031,5,0.025
230,M,0.67,0.51,0.2,1.5945,0.6705,0.3845,0.4505,10,0.474
231,I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12,0.129
232,M,0.56,0.43,0.145,0.8995,0.464,0.1775,0.234,9,0.201
233,M,0.615,0.495,0.2,1.304,0.5795,0.3115,0.371,14,0.354
234,M,0.72,0.565,0.2,1.787,0.718,0.385,0.529,11,0.54
235,M,0.565,0.445,0.15,0.796,0.3635,0.184,0.219,8,0.214
236,M,0.6,0.465,0.155,1.0165,0.512,0.2465,0.225,10,0.279
237,I,0.52,0.405,0.14,0.5775,0.2,0.145,0.179,11,0.199
238,F,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12,0.334
239,M,0.615,0.47,0.15,1.0875,0.4975,0.283,0.2685,9,0.321
240,I,0.42,0.31,0.095,0.279,0.1255,0.051,0.088,6,0.066
241,I,0.295,0.215,0.085,0.128,0.049,0.034,0.04,6,0.039
242,M,0.575,0.435,0.15,0.805,0.293,0.1625,0.27,17,0.242
243,I,0.49,0.375,0.115,0.4615,0.204,0.0945,0.143,8,0.115
244,M,0.565,0.47,0.195,1.142,0.387,0.258,0.35,17,0.405
245,M,0.735,0.59,0.215,1.747,0.7275,0.403,0.557,11,0.463
246,F,0.615,0.455,0.145,1.1155,0.5045,0.238,0.315,10,0.296
247,M,0.555,0.44,0.15,1.092,0.416,0.212,0.4405,15,0.236
248,I,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,8,0.208
249,F,0.435,0.35,0.105,0.4195,0.194,0.1005,0.13,7,0.095
250,F,0.57,0.46,0.135,0.9795,0.397,0.2525,0.2655,9,0.317
251,F,0.605,0.47,0.16,1.0835,0.5405,0.2215,0.275,12,0.268
252,M,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14,0.403
253,I,0.335,0.255,0.08,0.168,0.079,0.0355,0.05,5,0.039
254,M,0.42,0.34,0.125,0.4495,0.165,0.1125,0.144,11,0.14
255,F,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,10,0.182
256,I,0.55,0.405,0.15,0.6755,0.3015,0.1465,0.21,10,0.164
257,I,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2,0.005
258,M,0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215,8,0.255
259,M,0.54,0.415,0.17,0.879,0.339,0.208,0.255,10,0.285
260,F,0.61,0.46,0.155,0.957,0.4255,0.1975,0.265,8,0.266
261,M,0.475,0.395,0.135,0.592,0.2465,0.1645,0.2,13,0.145
262,I,0.61,0.49,0.16,1.1545,0.5865,0.2385,0.2915,11,0.277
263,M,0.525,0.415,0.16,0.6445,0.26,0.1575,0.22,12,0.164
264,F,0.62,0.48,0.17,1.1045,0.535,0.25,0.287,10,0.283
265,I,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013,4,0.012
266,M,0.37,0.28,0.105,0.224,0.0815,0.0575,0.075,8,0.068
267,F,0.47,0.36,0.13,0.472,0.182,0.114,0.15,10,0.14
268,M,0.715,0.55,0.175,1.825,0.938,0.3805,0.44,11,0.447
269,I,0.455,0.335,0.105,0.4055,0.175,0.092,0.1185,8,0.112
270,M,0.645,0.495,0.185,1.4935,0.5265,0.2785,0.455,15,0.512
271,M,0.65,0.51,0.19,1.542,0.7155,0.3735,0.375,9,0.452
272,I,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,8,0.043
273,M,0.565,0.455,0.15,0.9795,0.444,0.205,0.275,8,0.261
274,M,0.615,0.47,0.155,1.2,0.5085,0.32,0.292,8,0.4
275,F,0.595,0.495,0.185,1.285,0.416,0.224,0.485,13,0.384
276,F,0.495,0.375,0.15,0.597,0.2615,0.135,0.178,11,0.157
277,M,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22,14,0.194
278,M,0.555,0.42,0.145,0.8695,0.3075,0.2575,0.25,14,0.312
279,I,0.565,0.43,0.125,0.6545,0.2815,0.139,0.21,9,0.163
280,I,0.375,0.28,0.08,0.226,0.105,0.047,0.065,6,0.056
281,M,0.63,0.49,0.17,1.1745,0.5255,0.273,0.339,11,0.31
282,F,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10,0.415
283,M,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13,0.324
284,M,0.72,0.6,0.235,2.2385,0.984,0.411,0.621,12,0.634
285,M,0.66,0.515,0.155,1.4415,0.7055,0.3555,0.335,10,0.401
286,F,0.615,0.5,0.205,1.1055,0.4445,0.227,0.39,16,0.271
287,M,0.54,0.405,0.155,0.9715,0.3225,0.194,0.29,19,0.359
288,I,0.535,0.42,0.145,0.6885,0.273,0.1515,0.237,9,0.178
289,F,0.62,0.48,0.175,1.0405,0.464,0.2225,0.3,9,0.277
290,I,0.56,0.44,0.13,0.7235,0.349,0.149,0.2,8,0.175
291,M,0.415,0.315,0.12,0.4015,0.199,0.087,0.097,8,0.106
292,F,0.695,0.55,0.185,1.679,0.805,0.4015,0.3965,10,0.477
293,F,0.565,0.45,0.185,0.9285,0.302,0.1805,0.265,12,0.362
294,F,0.46,0.33,0.15,0.5325,0.2085,0.1805,0.125,10,0.199
295,F,0.625,0.49,0.145,0.92,0.437,0.1735,0.28,10,0.203
296,I,0.49,0.4,0.135,0.624,0.3035,0.1285,0.169,8,0.151
297,I,0.53,0.41,0.15,0.612,0.2435,0.1525,0.1895,11,0.179
298,M,0.625,0.47,0.15,1.124,0.556,0.2315,0.287,9,0.281
299,F,0.64,0.51,0.165,1.486,0.7595,0.332,0.321,8,0.406
300,F,0.515,0.395,0.135,0.516,0.2015,0.132,0.162,9,0.152
301,F,0.635,0.485,0.19,1.3765,0.634,0.2885,0.406,11,0.337
302,I,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17,0.277
303,M,0.455,0.375,0.125,0.484,0.2155,0.102,0.165,7,0.103
304,M,0.54,0.435,0.14,0.7345,0.33,0.1595,0.213,9,0.192
305,F,0.585,0.435,0.14,0.6955,0.3085,0.129,0.2245,8,0.163
306,I,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7,0.121
307,I,0.525,0.38,0.135,0.615,0.261,0.159,0.175,8,0.179
308,F,0.535,0.4,0.15,0.8045,0.3345,0.2125,0.21,13,0.26
309,I,0.47,0.355,0.115,0.4155,0.167,0.084,0.139,7,0.109
310,M,0.615,0.49,0.17,1.145,0.4915,0.208,0.343,13,0.31
311,I,0.185,0.135,0.04,0.027,0.0105,0.0055,0.009,5,0.008
312,F,0.595,0.48,0.2,0.975,0.358,0.2035,0.34,15,0.277
313,M,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,9,0.104
314,F,0.655,0.5,0.14,1.1705,0.5405,0.3175,0.285,12,0.345
315,M,0.675,0.555,0.2,1.4385,0.545,0.2665,0.465,21,0.428
316,I,0.28,0.21,0.065,0.111,0.0425,0.0285,0.03,6,0.039
317,I,0.33,0.25,0.075,0.1405,0.056,0.035,0.05,5,0.035
318,M,0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,9,0.221
319,I,0.475,0.365,0.14,0.4545,0.171,0.118,0.158,8,0.125
320,M,0.41,0.31,0.125,0.3595,0.1415,0.0885,0.115,11,0.103
321,M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14,0.754
322,M,0.545,0.44,0.14,0.8395,0.356,0.1905,0.2385,11,0.245
323,F,0.705,0.54,0.205,1.757,0.8265,0.417,0.461,9,0.469
324,F,0.665,0.555,0.195,1.4385,0.581,0.354,0.36,17,0.497
325,I,0.545,0.4,0.13,0.686,0.3285,0.1455,0.18,9,0.178
326,F,0.375,0.295,0.11,0.3005,0.1255,0.0575,0.1035,7,0.071
327,M,0.645,0.51,0.16,1.33,0.6665,0.309,0.317,9,0.347
328,F,0.64,0.515,0.205,1.5335,0.6635,0.3345,0.4025,9,0.468
329,I,0.225,0.17,0.05,0.0515,0.019,0.012,0.017,4,0.015
330,I,0.345,0.285,0.1,0.2225,0.0865,0.058,0.075,8,0.061
331,F,0.64,0.51,0.2,1.3905,0.61,0.3315,0.41,12,0.371
332,F,0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835,9,0.074
333,F,0.725,0.6,0.2,1.737,0.697,0.3585,0.595,11,0.445
334,I,0.365,0.27,0.085,0.197,0.0815,0.0325,0.065,6,0.051
335,M,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,14,0.447
336,M,0.52,0.385,0.14,0.6595,0.2485,0.2035,0.16,9,0.251
337,M,0.71,0.565,0.2,1.601,0.706,0.321,0.45,11,0.445
338,M,0.635,0.51,0.155,0.986,0.405,0.2255,0.31,10,0.271
339,F,0.685,0.525,0.175,1.71,0.5415,0.309,0.58,16,0.588
340,I,0.615,0.46,0.19,1.066,0.4335,0.226,0.33,13,0.303
341,M,0.62,0.465,0.145,0.911,0.375,0.2145,0.278,10,0.258
342,I,0.435,0.33,0.095,0.393,0.219,0.075,0.0885,6,0.086
343,I,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,5,0.013
344,F,0.615,0.5,0.165,1.327,0.6,0.3015,0.355,10,0.372
345,F,0.5,0.405,0.15,0.5965,0.253,0.126,0.185,12,0.159
346,M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8,0.18
347,F,0.705,0.53,0.17,1.564,0.612,0.394,0.44,10,0.512
348,F,0.61,0.45,0.13,0.8725,0.389,0.1715,0.272,11,0.212
349,I,0.455,0.35,0.105,0.4445,0.213,0.107,0.1115,7,0.12
